gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
BES.3.2,Auswahlkriterien,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.3.2.1,Zertifizierte Lieferanten,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.3.2.2,Quellendiversifikation,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.3.3,Unzuverlässige Lieferanten,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.1,Klassifizierung von Beschaffungsvorhaben,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.2,Dokumentation der Beschaffungskriterien,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.3,Beschaffung anhand der Kriterien,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.5,Security by Design,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.5.1,Entwicklung nach einem Sicherheitslebenszyklus,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.5.2,Mandantentrennung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.6,Security by Default,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.6.1,Authentifizierung des Kunden,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.6.3,Manipulationsschutz,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.7,ISMS beim Dienstleister,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.8,Konformitätsnachweise,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.8.1,Zertifizierung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.8.4,Offenlegung der Risikoanalyse,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.4.9,Sicherheitsüberprüfung (extern),erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.1,Kompetenzen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.2,Service Level Agreement,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.3,Compliance-Verpflichtungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.4,Informationssicherheitskontrollmechanismen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.5,Nutzungsregelungen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.5.1,Datenlokationen,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.6,Vergabe von Unteraufträgen,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.6.1,Weitergabe der Beschaffungskriterien,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.6.2,Autorisierung von Unterauftragnehmern,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.6.3,Nachverfolgbarkeit der Lieferkette,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.7,Schulung,erhöht,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
BES.5.8,Rechte für geistges Eigentum,normal-SdT,keine,0.0,,,N/A,N/A,text-embedding-3-small,2026-04-21T13:36:44
